from,to,relation
MvH,KSK,Mitglied
MEd,KSK,Gr端nder
AM,KSK,Mitglied
RvP,KSK,Mitglied
PW,KSK,Mitglied
ME,KSK,Mitglied
MvH,QD,Mitglied
MEd,QD,Mitglied
AE,QD,Mitglied
MB,QD,Gr端nder
MH,QD,Mitglied
CJK,QD,Mitglied
ET,QD,Mitglied
MF,QD,Mitglied
BS,QD,Mitglied
KH,QD,Mitglied
RR,QD,Mitglied
PG,QD,Mitglied
PvR,QA,Mitglied
MB,QA,Mitglied
AQ,QA,Mitglied
BMW,QA,Mitglied
CW,AfD,Mitglied
RL,AfD,Mitglied
GS,AfD,Mitglied
BMW,AfD,Mitglied
UH,AfD,Mitglied
PvR,MEd,Unterst端tzer
PW,RvP,Bekannte
PW,TT,Bekannte
RvP,PW,Bekannte
TT,PW,Bekannte
AE,MEd,Bekannte
MB,MEd,Bekannte
MH,MEd,Bekannte
CJK,MEd,Bekannte
ET,MEd,Bekannte
MF,MEd,Bekannte
BS,MEd,Bekannte
KH,MEd,Bekannte
MEd,AE,Bekannte
MEd,MB,Bekannte
MEd,MH,Bekannte
MEd,CJK,Bekannte
MEd,ET,Bekannte
MEd,MF,Bekannte
MEd,BS,Bekannte
MEd,KH,Bekannte
MR,MF,Private Verbindung
MF,MR,Private Verbindung
TT,PvR,Unterst端tzer
CW,GS,Zusammenarbeit
GS,CW,Zusammenarbeit
AE,MB,Bekannte
AE,MH,Bekannte
MB,AE,Bekannte
MH,AE,Bekannte
ET,UH,Bekannte
UH,ET,Bekannte
FL,CDU,Mitglied
